Unique_Questionnaire_Number,Person_Number,Survey_Date,Province,Metro_Code,Geo_Type_Code,Stratum,Gender,Age,Marital_Status,Education_Level,Population_Group,Field_of_Study,Attendance_Status,Employment_Status,Labour_Force_Status,Unemployment_Status,Reason_for_Inactivity,Industry_Code,Occupation_Code,Previous_Industry_Code,Previous_Occupation_Code,Sector_Code,Informal_Employment_Status,Long_Term_Unemployment_Status,Underemployment_Status,"'Not in Education, Employment, or Training' Status",Graduate Status,Education Status,Age Group,Hours Worked,Weight
160101020000005101,1,2026-04-02,1,1,1,10108,1,53,1,12,2,inf,2,1.0,1.0,,,2.0,7.0,,,1.0,1.0,,2.0,2.0,2,5,11,60.0,1614.2448011
160101020000005101,2,2026-04-02,1,1,1,10108,2,55,1,12,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,2,5,12,,1614.2448011
160101020000005101,3,2026-04-02,1,1,1,10108,1,28,5,12,2,inf,2,1.0,1.0,,,7.0,4.0,,,2.0,2.0,,2.0,2.0,2,5,6,40.0,1614.2448011
160101020000005101,4,2026-04-02,1,1,1,10108,2,24,5,12,2,inf,2,1.0,1.0,,,6.0,4.0,,,2.0,2.0,,2.0,2.0,2,5,5,45.0,1614.2448011
160101020000005101,5,2026-04-02,1,1,1,10108,2,23,5,12,2,inf,2,1.0,1.0,,,6.0,4.0,,,2.0,2.0,,2.0,2.0,2,5,5,45.0,1614.2448011
160101020000008001,1,2026-04-02,1,1,1,10108,1,37,5,22,2,8.0,2,1.0,1.0,,,7.0,1.0,,,1.0,1.0,,2.0,2.0,3,6,8,40.0,1465.2534683
160101020000008001,2,2026-04-02,1,1,1,10108,2,38,5,22,2,4.0,2,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,2.0,2.0,3,6,8,40.0,1465.2534683
160101020000010901,1,2026-04-02,1,1,1,10108,1,67,3,10,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,1,4,14,,1762.7282242
160101020000010901,2,2026-04-02,1,1,1,10108,2,39,5,12,2,inf,2,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,8,40.0,1762.7282242
160101020000010901,3,2026-04-02,1,1,1,10108,2,27,5,12,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,2,5,6,,1762.7282242
160101020000013801,1,2026-04-02,1,1,1,10108,1,61,1,12,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,2,5,13,,999.39374497
160101020000013801,2,2026-04-02,1,1,1,10108,2,61,1,12,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,2,5,13,,999.39374497
160101100000000501,1,2026-05-02,1,1,1,10109,2,54,4,11,4,inf,2,4.0,6.0,5.0,2.0,,,,,,,,,1.0,1,4,11,,343.31792495
160101100000000501,2,2026-05-02,1,1,1,10109,2,18,5,11,1,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,343.31792495
160101100000003501,3,2026-05-02,1,1,1,10109,2,21,5,12,1,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,2,5,5,,962.17634112
160101100000003501,4,2026-05-02,1,1,1,10109,2,21,5,12,1,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,2,5,5,,962.17634112
160101100000005001,5,2026-05-02,1,1,1,10109,1,25,5,12,1,inf,1,1.0,1.0,,,8.0,9.0,,,1.0,1.0,,2.0,2.0,2,5,6,40.0,999.69815051
160101100000006501,1,2026-05-02,1,1,1,10109,2,45,5,1,1,inf,2,4.0,6.0,4.0,4.0,,,9.0,4.0,,,,,1.0,1,2,10,,1125.0165407
160101100000008001,2,2026-05-02,1,1,1,10109,1,37,5,8,1,inf,2,1.0,1.0,,,6.0,1.0,,,2.0,1.0,,2.0,2.0,1,4,8,72.0,1138.6429647
160101100000009501,1,2026-05-02,1,1,1,10109,2,20,5,9,1,inf,2,2.0,2.0,3.0,,,,,,,,1.0,,1.0,1,4,5,,661.97348111
160101100000011001,1,2026-05-02,1,1,1,10109,1,55,1,10,1,inf,2,1.0,1.0,,,8.0,3.0,,,2.0,2.0,,2.0,2.0,1,4,12,40.0,1916.7336891
160101100000011001,2,2026-05-02,1,1,1,10109,2,47,1,10,1,inf,2,4.0,6.0,5.0,2.0,,,,,,,,,1.0,1,4,10,,1916.7336891
160101100000011001,3,2026-05-02,1,1,1,10109,2,18,5,11,1,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1916.7336891
160101100000011001,4,2026-05-02,1,1,1,10109,1,26,5,10,1,inf,2,4.0,6.0,3.0,3.0,,,,,,,,,1.0,1,4,6,,1916.7336891
160101100000011001,5,2026-05-02,1,1,1,10109,1,29,5,10,1,inf,2,1.0,1.0,,,6.0,7.0,,,2.0,2.0,,2.0,2.0,1,4,6,16.0,1916.7336891
160101100000014001,1,2026-05-02,1,1,1,10109,1,31,2,10,2,inf,2,1.0,1.0,,,1.0,9.0,,,2.0,2.0,,2.0,2.0,1,4,7,45.0,1466.5890899
160101100000014001,2,2026-05-02,1,1,1,10109,2,32,2,9,2,inf,2,4.0,6.0,4.0,6.0,,,6.0,7.0,,,,,1.0,1,4,7,,1466.5890899
160101100000015501,1,2026-05-02,1,1,1,10109,1,38,5,12,1,inf,2,1.0,1.0,,,7.0,8.0,,,1.0,2.0,,2.0,2.0,2,5,8,36.0,1138.6429647
160101100000017001,1,2026-05-02,1,1,1,10109,2,65,2,8,2,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,1,4,14,,882.53452916
160101100000017001,2,2026-05-02,1,1,1,10109,1,59,2,31,1,inf,2,1.0,1.0,,,6.0,5.0,,,2.0,2.0,,2.0,2.0,5,7,12,50.0,882.53452916
160101100000017001,3,2026-05-02,1,1,1,10109,1,16,5,10,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,882.53452916
160101100000017001,4,2026-05-02,1,1,1,10109,1,21,5,12,2,inf,2,2.0,2.0,3.0,,,,,,,,1.0,,1.0,2,5,5,,882.53452916
160101100000017001,5,2026-05-02,1,1,1,10109,2,15,5,9,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,882.53452916
160101430000002101,1,2026-06-02,1,1,1,10106,2,45,5,10,2,inf,2,1.0,1.0,,,9.0,9.0,,,1.0,2.0,,2.0,2.0,1,4,10,32.0,682.31480471
160101430000004401,1,2026-06-02,1,1,1,10106,2,53,5,6,2,inf,2,4.0,6.0,4.0,3.0,,,9.0,9.0,,,,,1.0,1,2,11,,1069.4347841
160101430000004401,2,2026-06-02,1,1,1,10106,1,24,5,6,2,inf,2,4.0,6.0,3.0,6.0,,,,,,,,,1.0,1,2,5,,1069.4347841
160101430000006701,1,2026-06-02,1,1,1,10106,2,59,5,10,2,inf,2,4.0,6.0,5.0,3.0,,,,,,,,,1.0,1,4,12,,748.59476084
160101430000006701,2,2026-06-02,1,1,1,10106,1,57,5,11,2,inf,2,4.0,6.0,3.0,3.0,,,,,,,,,1.0,1,4,12,,748.59476084
160101430000006701,3,2026-06-02,1,1,1,10106,2,17,5,10,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,748.59476084
160101430000009001,1,2026-06-02,1,1,1,10106,2,30,5,9,2,inf,2,2.0,2.0,5.0,,,,,,,,1.0,,1.0,1,4,7,,1458.5137567
160101430000009001,2,2026-06-02,1,1,1,10106,2,49,5,31,2,inf,2,1.0,1.0,,,9.0,5.0,,,1.0,2.0,,2.0,2.0,5,7,10,20.0,1458.5137567
160101430000009001,3,2026-06-02,1,1,1,10106,1,41,5,31,2,inf,2,1.0,1.0,,,1.0,9.0,,,2.0,2.0,,2.0,2.0,5,7,9,50.0,1458.5137567
160101430000009001,4,2026-06-02,1,1,1,10106,1,35,5,8,2,inf,2,2.0,2.0,5.0,,,,,,,,1.0,,1.0,1,4,8,,1458.5137567
160101430000009001,5,2026-06-02,1,1,1,10106,2,72,3,31,2,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,5,7,15,,1458.5137567
160101430000009001,6,2026-06-02,1,1,1,10106,1,23,5,10,2,inf,2,2.0,2.0,1.0,,,,5.0,9.0,,,2.0,,1.0,1,4,5,,1458.5137567
160101430000013601,1,2026-06-02,1,1,1,10106,1,44,5,10,2,inf,2,2.0,2.0,1.0,,,,4.0,7.0,,,1.0,,1.0,1,4,9,,771.45405836
161100350000007901,1,2026-05-02,1,1,1,10106,1,45,1,12,2,inf,2,1.0,1.0,,,9.0,8.0,,,1.0,2.0,,2.0,2.0,2,5,10,40.0,868.73921237
161100350000007901,2,2026-05-02,1,1,1,10106,2,43,1,12,2,inf,2,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,9,40.0,868.73921237
161100350000007901,3,2026-05-02,1,1,1,10106,1,19,5,12,2,inf,2,2.0,2.0,3.0,,,,,,,,2.0,,1.0,2,5,4,,868.73921237
161100350000010901,1,2026-05-02,1,1,1,10106,1,42,4,12,2,inf,2,1.0,1.0,,,9.0,5.0,,,1.0,1.0,,2.0,2.0,2,5,9,40.0,571.6541282
161100350000010901,2,2026-05-02,1,1,1,10106,2,41,4,12,2,inf,1,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,9,40.0,571.6541282
161100350000010901,3,2026-05-02,1,1,1,10106,1,17,5,12,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,2,5,4,,571.6541282
161100520000004201,3,2026-05-02,1,1,3,10301,1,36,5,10,2,inf,2,1.0,1.0,,,1.0,8.0,,,2.0,2.0,,2.0,2.0,1,4,8,50.0,949.11608622
161100520000017601,1,2026-05-02,1,1,3,10301,1,37,1,10,1,inf,2,1.0,1.0,,,1.0,9.0,,,1.0,1.0,,2.0,2.0,1,4,8,50.0,1144.7553327
161100520000037701,1,2026-05-02,1,1,3,10301,1,71,1,12,4,inf,2,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,2.0,2.0,2,5,15,40.0,1423.185608
161100520000037701,2,2026-05-02,1,1,3,10301,2,71,1,26,4,7.0,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,4,6,15,,1423.185608
161100520000044401,1,2026-05-02,1,1,3,10301,1,49,1,6,2,inf,2,2.0,2.0,2.0,,,,1.0,9.0,,,1.0,,1.0,1,2,10,,1466.162142
161100520000044401,2,2026-05-02,1,1,3,10301,2,46,1,4,2,inf,2,4.0,6.0,5.0,3.0,,,,,,,,,1.0,1,2,10,,1466.162142
161100520000044401,3,2026-05-02,1,1,3,10301,1,23,5,8,2,inf,2,4.0,4.0,5.0,3.0,,,,,,,,,1.0,1,4,5,,1466.162142
161100520000044401,4,2026-05-02,1,1,3,10301,1,18,5,8,2,inf,2,2.0,2.0,3.0,,,,,,,,1.0,,1.0,1,4,4,,1466.162142
161100520000057801,1,2026-05-02,1,1,3,10301,1,47,5,10,1,inf,2,1.0,1.0,,,1.0,9.0,,,2.0,2.0,,2.0,2.0,1,4,10,45.0,1237.8357069
161100800000003401,1,2026-04-02,1,1,1,10105,2,50,5,7,2,inf,2,4.0,6.0,5.0,3.0,,,,,,,,,1.0,1,3,11,,1311.9395168
161100800000003401,2,2026-04-02,1,1,1,10105,1,30,5,12,2,inf,2,2.0,2.0,5.0,,,,,,,,1.0,,1.0,2,5,7,,1311.9395168
161100800000003401,3,2026-04-02,1,1,1,10105,1,28,5,10,2,inf,2,1.0,1.0,,,8.0,9.0,,,1.0,1.0,,2.0,2.0,1,4,6,60.0,1311.9395168
161100800000003401,4,2026-04-02,1,1,1,10105,2,17,5,11,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1311.9395168
161100800000005801,1,2026-04-02,1,1,1,10105,2,56,2,5,2,inf,2,4.0,6.0,5.0,3.0,,,,,,,,,1.0,1,2,12,,1075.1255149
161100800000005801,2,2026-04-02,1,1,1,10105,1,71,2,31,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,5,7,15,,1075.1255149
161100800000005801,3,2026-04-02,1,1,1,10105,2,26,5,12,2,inf,2,2.0,2.0,4.0,,,,6.0,7.0,,,1.0,,1.0,2,5,6,,1075.1255149
161100800000005802,1,2026-04-02,1,1,1,10105,1,38,2,10,2,inf,2,3.0,3.0,4.0,5.0,,,5.0,7.0,,,,,1.0,1,4,8,,736.6617397
161100800000005802,2,2026-04-02,1,1,1,10105,2,39,2,12,2,inf,2,4.0,6.0,4.0,3.0,,,10.0,10.0,,,,,1.0,2,5,8,,736.6617397
161100800000005802,3,2026-04-02,1,1,1,10105,1,17,5,11,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,736.6617397
161100800000008201,1,2026-04-02,1,1,1,10105,1,38,5,11,2,inf,2,3.0,3.0,4.0,5.0,,,9.0,3.0,,,,,1.0,1,4,8,,786.70693744
161100800000010601,1,2026-04-02,1,1,1,10105,2,82,3,8,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,1,4,16,,626.37043251
161100800000010601,2,2026-04-02,1,1,1,10105,2,24,5,12,2,inf,2,1.0,1.0,,,9.0,5.0,,,1.0,1.0,,2.0,2.0,2,5,5,48.0,626.37043251
161100800000013001,1,2026-04-02,1,1,1,10105,2,60,3,9,2,inf,2,1.0,1.0,,,6.0,5.0,,,2.0,2.0,,2.0,2.0,1,4,13,6.0,519.38833555
161100800000013001,2,2026-04-02,1,1,1,10105,1,27,5,10,2,inf,2,1.0,1.0,,,6.0,9.0,,,2.0,2.0,,2.0,2.0,1,4,6,45.0,519.38833555
161100800000013001,3,2026-04-02,1,1,1,10105,2,17,5,11,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,519.38833555
161100800000015401,1,2026-04-02,1,1,1,10105,2,55,5,31,2,inf,2,4.0,6.0,3.0,3.0,,,,,,,,,1.0,5,7,12,,783.79222433
161100800000015401,2,2026-04-02,1,1,1,10105,2,32,5,12,2,inf,2,1.0,1.0,,,6.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,7,77.0,783.79222433
162100910000002101,1,2026-05-02,1,1,1,10103,1,42,1,9,2,inf,2,1.0,1.0,,,1.0,8.0,,,1.0,1.0,,2.0,2.0,1,4,9,50.0,748.09981025
162100910000002101,2,2026-05-02,1,1,1,10103,2,43,1,8,2,inf,2,1.0,1.0,,,10.0,10.0,,,3.0,1.0,,2.0,2.0,1,4,9,45.0,748.09981025
162100910000004201,1,2026-05-02,1,1,1,10103,2,68,5,10,2,inf,2,4.0,6.0,4.0,4.0,,,1.0,9.0,,,,,1.0,1,4,14,,546.78771046
162100910000006301,1,2026-05-02,1,1,1,10103,2,38,2,12,2,inf,2,1.0,1.0,,,3.0,9.0,,,1.0,1.0,,2.0,2.0,2,5,8,55.0,832.21493366
162100910000006301,2,2026-05-02,1,1,1,10103,1,38,2,7,2,inf,2,1.0,1.0,,,6.0,9.0,,,1.0,1.0,,2.0,2.0,1,3,8,40.0,832.21493366
162100910000006301,3,2026-05-02,1,1,1,10103,1,17,5,11,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,832.21493366
162100910000010501,1,2026-05-02,1,1,1,10103,1,54,1,7,2,inf,2,1.0,1.0,,,1.0,7.0,,,1.0,2.0,,2.0,2.0,1,3,11,40.0,1186.9531839
162100910000010501,2,2026-05-02,1,1,1,10103,2,52,1,7,2,inf,2,4.0,6.0,5.0,3.0,,,,,,,,,1.0,1,3,11,,1186.9531839
162100910000010501,3,2026-05-02,1,1,1,10103,1,27,5,11,2,inf,2,1.0,1.0,,,3.0,1.0,,,1.0,1.0,,2.0,2.0,1,4,6,40.0,1186.9531839
162100910000012601,1,2026-05-02,1,1,1,10103,2,41,1,10,2,inf,2,2.0,2.0,1.0,,,,1.0,9.0,,,2.0,,1.0,1,4,9,,861.90483631
162100910000012601,2,2026-05-02,1,1,1,10103,1,44,1,12,2,inf,2,2.0,2.0,2.0,,,,1.0,9.0,,,1.0,,1.0,2,5,9,,861.90483631
162100910000014701,1,2026-05-02,1,1,1,10103,1,52,1,31,2,inf,2,1.0,1.0,,,5.0,7.0,,,2.0,2.0,,2.0,2.0,5,7,11,40.0,1822.2580013
162100910000014701,2,2026-05-02,1,1,1,10103,2,46,1,5,2,inf,2,4.0,6.0,4.0,2.0,,,3.0,9.0,,,,,1.0,1,2,10,,1822.2580013
162100910000014701,3,2026-05-02,1,1,1,10103,1,72,5,31,2,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,5,7,15,,1822.2580013
162100910000014701,4,2026-05-02,1,1,1,10103,1,41,5,31,2,inf,2,1.0,1.0,,,1.0,9.0,,,2.0,2.0,,2.0,2.0,5,7,9,40.0,1822.2580013
162100910000014701,5,2026-05-02,1,1,1,10103,1,33,5,31,2,inf,2,1.0,1.0,,,5.0,7.0,,,2.0,2.0,,2.0,2.0,5,7,7,40.0,1822.2580013
162100910000014701,6,2026-05-02,1,1,1,10103,1,31,5,31,2,inf,2,1.0,1.0,,,5.0,7.0,,,2.0,2.0,,2.0,2.0,5,7,7,40.0,1822.2580013
162100910000014701,7,2026-05-02,1,1,1,10103,2,21,5,12,2,inf,2,1.0,1.0,,,1.0,9.0,,,2.0,2.0,,2.0,2.0,2,5,5,40.0,1822.2580013
162100910000014701,8,2026-05-02,1,1,1,10103,1,16,5,7,2,inf,1,4.0,6.0,3.0,4.0,,,,,,,,,2.0,1,3,4,,1822.2580013
162100910000016801,1,2026-05-02,1,1,1,10103,1,44,1,12,2,inf,2,1.0,1.0,,,9.0,9.0,,,1.0,1.0,,2.0,2.0,2,5,9,40.0,650.328465
162100910000016801,2,2026-05-02,1,1,1,10103,2,40,1,11,2,inf,2,2.0,2.0,1.0,,,,1.0,9.0,,,2.0,,1.0,1,4,9,,650.328465
162100910000016801,3,2026-05-02,1,1,1,10103,2,21,5,8,2,inf,2,1.0,1.0,,,5.0,9.0,,,2.0,2.0,,2.0,2.0,1,4,5,40.0,650.328465
162100910000018901,1,2026-05-02,1,1,1,10103,1,60,1,6,2,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,1,2,13,,1208.4454898
162100910000018901,2,2026-05-02,1,1,1,10103,1,36,5,6,2,inf,2,1.0,1.0,,,1.0,9.0,,,2.0,2.0,,2.0,2.0,1,2,8,55.0,1208.4454898
162100910000018901,3,2026-05-02,1,1,1,10103,1,31,5,12,2,inf,2,2.0,2.0,1.0,,,,6.0,9.0,,,1.0,,1.0,2,5,7,,1208.4454898
162100910000018901,4,2026-05-02,1,1,1,10103,1,28,5,9,2,inf,2,4.0,6.0,4.0,3.0,,,1.0,9.0,,,,,1.0,1,4,6,,1208.4454898
162100910000018901,5,2026-05-02,1,1,1,10103,2,61,1,9,2,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,1,4,13,,1208.4454898
163100380000002001,1,2026-05-02,1,1,1,10102,1,72,3,13,4,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,2,5,15,,1048.4295115
163100380000004701,1,2026-05-02,1,1,1,10102,2,67,4,9,4,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,1,4,14,,1212.0830897
163100380000007401,1,2026-05-02,1,1,1,10102,1,74,1,13,4,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,2,5,15,,1651.5176702
163100380000007401,2,2026-05-02,1,1,1,10102,2,72,1,10,4,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,1,4,15,,1651.5176702
163100380000010101,1,2026-05-02,1,1,1,10102,1,48,1,17,4,17.0,2,1.0,1.0,,,9.0,3.0,,,1.0,1.0,,2.0,2.0,3,6,10,45.0,855.92102846
163100380000010101,2,2026-05-02,1,1,1,10102,2,47,1,29,4,9.0,2,1.0,1.0,,,9.0,2.0,,,1.0,1.0,,2.0,2.0,4,6,10,72.0,855.92102846
163100380000010101,3,2026-05-02,1,1,1,10102,2,15,5,9,4,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,855.92102846
163100380000012801,1,2026-05-02,1,1,1,10102,2,47,4,13,4,inf,2,1.0,1.0,,,8.0,1.0,,,1.0,1.0,,2.0,2.0,2,5,10,70.0,1001.5507098
163100380000012801,2,2026-05-02,1,1,1,10102,1,27,5,13,4,inf,2,1.0,1.0,,,5.0,7.0,,,2.0,2.0,,2.0,2.0,2,5,6,40.0,1001.5507098
163100380000015501,1,2026-05-02,1,1,1,10102,2,55,5,13,4,inf,2,1.0,1.0,,,6.0,1.0,,,1.0,1.0,,2.0,2.0,2,5,12,42.0,1741.5864275
163100380000015501,2,2026-05-02,1,1,1,10102,2,74,3,13,4,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,2,5,15,,1741.5864275
